,title,description,price,points,cluster_label,cosine_similarity,price_bin
48630,Mastroberardino 2008 Radici Antonio Riserva  (Taurasi),"Named after the late Antonio Mastroberardino, this stunning wine opens with aromas of underbrush, dark cherry, tobacco, exotic spice and blue flower. The radiant palate seamlessly combines structure and finesse, delivering mature black cherry, juicy raspberry, white pepper, clove and licorice while bright acidity and firm, polished tannins provide balance. Hold for added complexity. Drink 2018–2033.",80.0,95,4,0.47191965078544135,above 40
109270,Brovia 2013 Garblèt Suè  (Barolo),"This stunning wine opens with classic Nebbiolo aromas of new leather, rose, wild berry, crushed herb, dark spice and menthol. The palate is chiseled and loaded with finesse, doling out juicy red cherry, ripe strawberry, licorice and cinnamon flavors. It's structured with polished tannins and bright acidity. Drink 2023–2043.",83.0,98,4,0.4558399837214352,above 40
48611,Guastaferro 2006 Primum Riserva  (Taurasi),"Mature dark-skinned berry, leather, underbrush and dark spice are some of the aromas that emerge on this fantastic red. Made from ungrafted vines between 150 and 200 years old, the powerful yet polished palate delivers mature black cherry, crushed raspberry, cinnamon, licorice and white pepper alongside firm, velvety tannins. This still needs time to fully develop. Drink 2018–2031.",90.0,97,4,0.4585526332547878,above 40
43238,Giovanni Rosso 2011 Cerretta  (Barolo),"You'll discover alluring aromas of baked earth, black and red berry, sweet baking spice, crushed flower, vineyard dust and a whiff of leather on this impressive wine. The delicious, powerful palate boasts juicy red cherry, black raspberry, cinnamon, anise and tobacco while firm, fine-grained tannins provide support and lend finesse.",95.0,95,4,0.4796414428425262,above 40
4067,Massolino 2012 Parafada  (Barolo),"95   Massolino 2012 Parafada (Barolo). A textbook Barolo, this opens with scents of mature berry, leather, underbrush, tobacco and an elegant trace of fragrant blue flower. The well-structured palate delivers succulent black cherry, crushed raspberry, cinnamon, licorice, clove and mineral alongside a backbone of firm yet refined tannins. Drink 2020–2030.",96.0,95,4,0.49475548811712045,above 40
40881,Gianni Brunelli 2010 Riserva  (Brunello di Montalcino),"Underbrush, dark-skinned berry, chopped mint and cooking spice aromas lead the way on this fabulous, structured wine. The full-bodied palate delivers a juicy core of ripe black cherry while white pepper, cinnamon, dried herb and a balsamic note provide the backdrop. Firm but refined tannins and fresh acidity provide balance and support. Drink 2018–2030.",100.0,97,4,0.49656298841265645,above 40
57048,Collosorbo 2011 Riserva  (Brunello di Montalcino),"Enticing Sangiovese aromas of truffle, ripe dark-skinned berry, pressed violet and new leather lead the way on this delicious red. The smooth succulent palate doles out juicy Marasca cherry, crushed raspberry, baking spice and wild herb framed in velvety tannins that envelope the palate while a licorice note wraps around the finish. Drink 2018–2026.",105.0,95,4,0.460431754708232,above 40
39816,Livio Sassetti 2010 Pertimali Riserva  (Brunello di Montalcino),"Here's a soulful red with earthy aromas wet soil, underbrush, ripe, violet, berry, leather and a funky whiff of game. The palate presents juicy wild cherry, crushed black raspberry, white pepper, cinnamon and grilled herb alongside firm, refined tannins and bright acidity. A tobacco note closes the finish. It's already accessible but also shows staying power. Drink 2018–20230.",110.0,95,4,0.4873804338791675,above 40
40877,Baricci 2010 Nello Riserva  (Brunello di Montalcino),"New leather, mature black-skinned fruit, tilled soil and a touch of dark spice are some of the aromas you'll find on this fantastic, full-bodied red. The big, velvety palate shows power and finesse, offering mouthfuls of juicy wild cherry, black raspberry, licorice, Mediterranean herb and a note of exotic spice framed in firm, ripe tannins. It's already balanced and delicious, but hold for more complexity. Drink 2020–2035.",120.0,98,4,0.4492695327970763,above 40
40879,Poggio di Sotto 2010 Riserva  (Brunello di Montalcino),"Crushed berry, leather, tilled soil, blue flower and a whiff of fennel lead the nose. The ripe palate offers juicy black cherry, black raspberry, white pepper and anise alongside firm, close-grained tannins. Give this time to fully develop and reach its full potential. Drink 2022–2032.",450.0,97,4,0.4862924010536126,above 40
