,title,description,price,points,lda_label,0
104570,Carr 2013 Turner Vineyard Pinot Gris (Sta. Rita Hills),"Leading with a slightly sour smell of tart apple and lime rind, the aromas from this single-vineyard Pinot Gris also pick up a wet rock minerality. Upon sipping, flavors of apple pie and peach emerge on the backdrop of a light, vibrant mouthfeel thanks to the stainless-steel processing, making this an excellent companion for fruit-topped salads or spicy food.",22.0,86,0,0.9678489842436582
3571,Syncline 2009 Subduction White White (Columbia Valley (WA)),"The latest version of this popular blend drops the Chardonnay and adds 11% Grüner Veltliner to the Roussanne-Viognier blend. It seems to elevate the aromatics, pushing lush scents of lemon drop, pineapple, and candied orange peel forward. Those perfectly rendered citrus peel flavors put a frame around the tart fruit, and there is a hint of white pepper in the spicy finish.",18.0,90,0,0.9678482674073604
77091,SuLei 2010 Sauvignon Blanc (Columbia Valley (WA)),"Fermented in stainless steel, then aged in a mix of neutral oak and stainless steel barrels, this single-vineyard, 100% varietal Sauvignon Blanc is racy and bone dry, a true Loire Valley style. Classic varietal flavors of gooseberry, lemon/lime and slate, with a bit of spritz to liven it up.",18.0,90,0,0.9666619729720153
20136,Robert Renzoni 2015 Cantata White (Temecula Valley),"This blend of 60% Pinot Grigio and 40% Viognier offers sharp green-apple candy, lemongrass, candied lime and yellow lily on the fresh and attention-grabbing nose. Grassy tension on the palate highlights lime blossoms, kiwi and apple skins. The interplay between racy Pinot Grigio and riper Viognier is intriguing.",22.0,89,0,0.9666615992394271
65076,Longoria 2014 Rita's Crown Vineyard Chardonnay (Sta. Rita Hills),"Managing to be both brisk and rounded on the nose, this bottling by veteran Rick Longoria shows ripe nectarine, sea salt, white peach and lime rind aromas. The palate is quite flinty at first, then opens to light Meyer lemon juice, Gravenstin apple flesh, sea salt, white sesame, chive and jasmine flavors. Excellent now, but will drink excellently all the way through 2024.",50.0,93,0,0.9666609060418156
108240,Tangent 2015 Stone Egg Paragon Vineyard Albariño (Edna Valley),"Many vintners are now using stone and concrete vessels to craft part of their blends, but this Niven family project goes all the way by bottling their stone-aged wine solo. Light in the glass, the wine shows aromas of honeysuckle, Meyer lemon pith, Bosc pear skins and crushed limestone. The palate's grippy texture carries bright, acid-powered flavors of Granny Smith apple, nectarine and Mexican lime.",32.0,90,0,0.9666600451376809
3726,Westerly 2014 Chardonnay (Santa Ynez Valley),"For an appellation blend, this is a nicely complex bottling. The nose offers toasted almonds, lemon twist, lime pith, browned butter, light pineapple and the slightest touch of dairy. The sip starts off slightly sour, framed with sizzling acidity and a savory salty character, conveying flavors of lime peels, wet slate and just enough melted butter on the finish.",30.0,90,0,0.9666592668333234
44615,Alexandria Nicole 2008 Shepherds Mark White White (Horse Heaven Hills),"Alexandria Nicole's Shepherds Mark is a Rhône blend of Roussanne, Marsanne and Viognier, sourced from the Destiny Ridge (estate) vineyard. Barrel fermented in neutral oak, it presents an inviting floral blossom nose, leading into a delicious mix of citrus, white peach, melon and light tropical fruits. It's rich but never tiring.",20.0,90,0,0.9666590834676204
35176,Tantara 2015 Zotovich Chardonnay (Sta. Rita Hills),"Light, fresh and yet slightly rich on the nose, this bottling shows aromas of white flower, Asian pear and lemon-laced crème brûlée. There is strong grip to the sip, with tight lime peel and pith flavors as well as hints of white peach flesh and honeysuckle. Roasted nuts arise on the finish.",52.0,91,0,0.9666576675538234
93810,Rodney Strong 2015 Estate Vineyards Charlotte's Home Sauvignon Blanc (Northern Sonoma),"A strong whiff of oak opens this wine before blowing off to reveal complementary aromas and flavors of mango, peach and melon accented by fresh-cut grass and honeysuckle. Mostly stainless-steel fermented, with just 10% of the wine given time in barrel, it remains crisp and clean, with just the right amount of texture and body.",17.0,91,0,0.966655127237039
106054,Clos Figueras 2013 Font de la Figuera White (Priorat),"Waxy, honeyed aromas of melon and white flowers lead to a plump, leesy, creamy but balanced palate full of bready notes, stone-fruit flavors and vanilla. Another wave of leesy vanilla, melon, tropical fruit and cream takes over the finish. This contains Viognier, Garnacha Blanca and Chenin Blanc, a small portion of which was barrel fermented.",40.0,90,0,0.9666548307055461
55003,Alexander-Smith 2014 Chardonnay (Santa Lucia Highlands),"Fairly light in the glass, this bottling shows chalk, slate and wet-sand minerality on the nose, alongside Asian pear flesh, kiwi and honeydew fruit notes. The texture is quite pithy once sipped, showing grapefruit and apple skins, and then it warms toward yellow pears and a sea salt warmth.",45.0,90,0,0.9653802962226146
37729,Sea Monster 2014 White (Central Coast),"This bottling is adorned with one of the prettiest and most interesting label designs on the market right now. Tropical aromas of pineapple, jasmine and ripe white peach are leveled by squeezed tangerine and orange-blossom scents. Lime juice shows first on the sip, followed by waves of kiwi, green papaya and a touch of mango.",17.0,89,0,0.9653798613228318
39731,Nielson by Byron 2014 Chardonnay (Santa Barbara County),"Fleshy fruits of white peach and guava and fragrant white flowers trend tropical on the nose of this bottling, but are cut by green apple and citrus skin flavors. The palate is broad with guava cream, apple blossoms, mango and lime chiffon flavors. Quite tasty, but very tropical.",16.0,88,0,0.9653795708779127
41075,Ryan Cochrane 2015 Solomon Hills Vineyard Chardonnay (Santa Maria Valley),"This bottling from the San Francisco-based producer is about as Burgundian as California gets. Aromas of honeydew rinds, Meyer lemon pith and honeysuckle meet with briny chalk, chiseled marble and a touch of almond warmth on the nose. The extremely fresh, clean and chalky palate shows stunning texture as well as rounded lemon blossom, sea salt and the faintest butter flavor.",36.0,96,0,0.9653794146871733
111568,Lone Madrone 2015 Picpoul (Paso Robles),"This bottling gets the thumbs up for intrigue, as Neil Collins manages to take a notoriously acidic grape and tame it with enough warmth and ripeness to make it appealing all alone. Pan-seared apples, caramel crisp, Meyer lemon rind and a touch of chamomile show on the nose, leading into a palate loaded with stonefruit, green mango, Gala apples and a touch of sweet onion flavor.",37.0,90,0,0.965379394112179
72602,Abacela 2007 Viognier (Southern Oregon),"Stainless-steel fermentation and picking the grapes at a relatively low brix (24.2) yields a crisp wine with lime skin, grapefruit and hints of quinine. The opening flavors extend into a mid-palate cut with tart acids and adding white peach, melon and nectarine to the fruit. It finishes bone dry, like a twist of lemon.",21.0,89,0,0.9653792871296758
3899,Chehalem 2007 INOX Chardonnay (Willamette Valley),"INOX—from the French inoxidable—is Chehalem's stainless steel-fermented Chardonnay, what some might label “naked” or “unwooded.” It is widely available and very appealing, with a tart, stony texture and bright, acid-driven fruit. Green apple and citrus are front and center in this vintage, with a steely spine of natural acid and virtually no residual sugar.",19.0,88,0,0.9653785095218884
56460,Daou 2013 Grenache Blanc (Paso Robles),"Fresh cut pear drizzled with lemon juice is given warmth by hints of mango and oak on the nose of this Paso white. It's soft and rich on the palate, with tropical elements of banana cream pie cut by apple skin bitterness and citrus pith acidity.",36.0,91,0,0.9653784843787597
14909,Testarossa 2013 La Rinconada Vineyard Chardonnay (Sta. Rita Hills),"The fantastic nose pitches French toast together with Meyer lemon pith, crushed rock, struck match and a slight sour-cream element. This wine is immediately lively on the tongue, with lots of but not overdone acidity. Yeasty toast flavors are cut by lemon and poached pear on a racy and focused palate.",48.0,93,0,0.9653782938830732
80664,Testarossa 2013 La Rinconada Vineyard Chardonnay (Sta. Rita Hills),"The fantastic nose pitches French toast together with Meyer lemon pith, crushed rock, struck match and a slight sour-cream element. This wine is immediately lively on the tongue, with lots of but not overdone acidity. Yeasty toast flavors are cut by lemon and poached pear on a racy and focused palate.",48.0,93,0,0.9653782938830732
35336,Rock Hollow 2009 Sauvignon Blanc (Santa Barbara County),"From two vineyards located in the warmer part of Santa Ynez Valley, this Sauvignon Blanc was mostly fermented in stainless steel, with a portion in neutal oak. The result is a nice, rich and creamy wine, slightly sweet in citrus, apricot and vanilla bean flavors, and balanced with crisp acidity.",12.0,87,0,0.9653777964092707
106172,Rock Hollow 2009 Sauvignon Blanc (Santa Barbara County),"From two vineyards located in the warmer part of Santa Ynez Valley, this Sauvignon Blanc was mostly fermented in stainless steel, with a portion in neutal oak. The result is a nice, rich and creamy wine, slightly sweet in citrus, apricot and vanilla bean flavors, and balanced with crisp acidity.",12.0,87,0,0.9653777964092707
98044,Sandhi 2013 Mt. Carmel Chardonnay (Sta. Rita Hills),"Lime and apple blossoms, gray slate, wet chalk, a touch of struck match and an ever-so-slight lemon-butter element converge on a wondrous nose in this Rajat Parr-Sashi Moorman winner. Once sipped, the tight citrus hits first, but then come approachable white flowers, golden pears and a touch of ghee and vanilla on the back end.",55.0,95,0,0.9653777423145299
80499,Longoria 2013 Cuvee Diana Chardonnay (Sta. Rita Hills),"Delicate sea salt and caramel brittle aromas meld with lemon blossoms, honey on brie rind, sweet alkalinity and a subtle white peach ripeness on Rick Longoria's annual ode to his wife. The texturally intriguing palate is racy with acidity and chalky in minerality, showing lean flavors of lemon and lime peels and a touch of vanilla on the deep finish. Drink 2018–2025.",45.0,92,0,0.9653775325619939
9244,Clos du Val 2009 Ariadne Semillon-Sauvignon Blanc (Napa Valley),"This blend of Sémillon and Sauvignon Blanc is bone dry and sophisticated, with a bite of acidity that makes it exceptionally food friendly. Made with just a touch of oak, it's marked by brisk flavors of lemons, limes, green apples and Asian pears, with a hint of tart gooseberry. A mouthwateringly clean wine that's great as a cocktail sipper with little appetizers.",25.0,91,0,0.9653759537431787
42387,Williams Selyem 2010 Drake Estate Vineyard Chardonnay (Russian River Valley),"Winemaker Bob Cabral's three 2010 Chardonnays are possibly the greatest he's ever made. This bottling shows fabulous complexity and sheer deliciousness, offering intricate notes of butterscotch, tropical fruit, pear tart, golden apricot, vanilla cream, buttered toast and exotic spice, with perhaps just a trace of honey. Its brilliant acidity and a tangy minerality provide the balance that pushes this wine off the charts.",65.0,96,0,0.9653744584943643
31878,Roblar 2013 Chardonnay (Sta. Rita Hills),"This is a great example of what most would consider a straight-ahead and delicious California Chardonnay. The nose offers aromas of seared pineapple cake, vanilla soda and Meyer lemon, and the palate blends all of the typical elements: lemon juice acidity down the middle, minerality driven by slate and white rocks, apple and a bit of brown spice on the edges.",25.0,92,0,0.9653740573984083
10503,Muga 2009 Barrel Fermented White (Rioja),"Clean lines and fresh, oak-tinged aromas is what this Viura (with 10% Malvasia) is all about. The nose starts with lemon, green apple and a spot of vanilla, while the juicy palate brings bright white fruits, toasty oak and smoke. Not overly complex but not rudimentary or dull. A nice food wine and probably the best barrel-fermented white from Muga we've tried.",16.0,89,0,0.9653740268870549
84199,Quadrant 2013 White (Paso Robles),"This creative blend of 74% Viognier, 19% Chardonnay, 4% Grenache Blanc and 3% Albariño delivers a juicy nose of squeezed orange and peach with tangerine-rind edge and yellow-cake warmth. There's a flash of acidity at first sip, then the flavors dive toward green apples, guava and banana, altogether both ripe and sour.",16.0,85,0,0.965372311817302
23419,Hogue 2008 Genesis Riesling (Columbia Valley (WA)),"Hogue's Genesis bottling is far more limited than the winery's other Rieslings, and offers extra dimensions in terms of concentration and grip. Though just 12.6% alcohol, it tastes dry enough, with juicy acidity and green apple flavors. What elevates it above the less expensive bottling is its length, the minerality and the hints of white flower, Mandarin orange and stone.",16.0,90,0,0.9653717312139034
5163,Paraiso Vineyards 2014 Chardonnay (Santa Lucia Highlands),"Fairly light in the glass, this bottling shows chalk, slate and wet sand minerality on the nose, alongside Asian pear flesh, kiwi and honeydew fruit notes. The texture is quite pithy once sipper, showing grapefruit and apple skins, and then it warms toward yellow pears and a sea salt wamrth.",45.0,90,0,0.9639958154223827
61264,Sierra Norte 2014 Fuenteseca Macabeo (Utiel-Requena),"Tropical aromas of lychee, green melon and peach come with hints of sweat and pine that can be attributed to the 20% Sauvignon Blanc in the blend. This is racy, lean and citric in feel, with tangerine, lime and passion fruit flavors. A lean, pithy, citrusy finish is crisp and clean.",12.0,86,0,0.963994919269605
23904,Beauregard 2013 Brut Nature Blanc de Blancs Méthode Champenoise Estate Grown Chardonnay (Ben Lomond Mountain),"Light hay in color and with a creamy, near-perfect foam, this sparkler shows fresh Asian pear, light plumeria, wet river stone and rain-on-sidewalk aromas, altogether quite minerally on the nose. Impressively textural, it's cleansing on the palate, a bit like licking chalk, with flavors of lemon skin, tart yellow-apple rind and crisp pear flesh.",80.0,92,0,0.9639943246710639
20086,Chanin 2014 Los Alamos Vineyard Chardonnay (Santa Barbara County),"Light but tropical notes touch on the fluffy nose of this bottling, with papaya-laced marshmallow, pineapple meringue, lemon curd and a sea salt caramel touch. Chamomile, yellow apple skins, yellow flowers, tight mango and lots of saltiness show on the mouth-watering sip. The buttery character grows as it warms up, but it's delicious in all temperatures.",35.0,94,0,0.9639935664484264
56511,Barden 2014 Fonte White (Sta. Rita Hills),"Very light in the glass, this vanguard blend of 9% Chardonnay, 29% Pinot Blanc and 32% Pinot Gris shows tight aromas of wet cement, sliced apple, Key lime sorbet and kiwi popsicle. There's lots of brisk, apple- and pear-driven energy on the palate, which also offers a very stony character and white-rock minerality, all dancing across the tongue with panache.",36.0,92,0,0.9639934742608964
58641,Barden 2014 Fonte White (Sta. Rita Hills),"Very light in the glass, this vanguard blend of 9% Chardonnay, 29% Pinot Blanc and 32% Pinot Gris shows tight aromas of wet cement, sliced apple, Key lime sorbet and kiwi popsicle. There's lots of brisk, apple- and pear-driven energy on the palate, which also offers a very stony character and white-rock minerality, all dancing across the tongue with panache.",36.0,92,0,0.9639934742608964
69997,Presqu'ile 2013 Chardonnay (Santa Maria Valley),"Sea salt, lemon, lime, grapefruit blossoms and a touch of ripe nectarine give complex depth to the nose of this high-end winery's larger-production white. The palate offers similar flavors, from brisk lime juice and sliced apples to warmer touches of sea-salt caramel.",35.0,90,0,0.9639933767493233
59584,Byington 2014 Wrights Station Vineyard Chardonnay (Santa Cruz Mountains),"Squeezed lemon rinds and pith, wound up wet concrete notes, a touch of toasted almond and a slight show of nectarine flesh comprise the nose of this bottling. Classic Cali Chard buttery notes lead the sip, with ripe stonefruit, sea salt, caramel and jasmine, uplited by a decent acidity.",30.0,87,0,0.9639927828121978
96924,Landmark 2014 Hilliard Bruce Vineyard Chardonnay (Sta. Rita Hills),"Dried apples, a touch of lime zest, fresh chamomile and a ripe nectarine-flesh element show on the nose of this bottling. The palate plays to the citrus side of the grape, with underripe tangerine and tangy lime forming laser-sharp focus across minerally chalky touches.",45.0,91,0,0.9639927227319572
25342,Barton 2014 Jurassic Park Vineyard Chenin Blanc (Santa Ynez Valley),"A fairly rich take on this grape, which many wineries use from this particular vineyard, this bottling is flush with white peach and white melon aromas, cut by lime and dried lemon blossoms, and layered with intriguing kiwi and exotic citrus notes. The palate is more simple, with apple and lemon flavors and chalky texture.",22.0,88,0,0.9639926459339223
23186,Tablas Creek 2015 Côtes de Tablas Blanc Estate Grown and Bottled Viognier-Grenache Blanc-Marsanne-Roussanne White (Adelaida District),"This blend of 26% Viognier, 25% Grenache Blanc, 25% Marsanne and 24% Roussanne manages to be both lush and light, showing candied melon, clover honey, pretty green pear and lime-butter on the nose. The palate offers Gala apples and fresh lemon zest, yet retains and intriguingly savory quality throughout the sip.",30.0,91,0,0.963992554655333
73141,Daou 2016 Rosé (Paso Robles),"This is one of the more interesting rosés of the vintage, in part because it is almost as hay-colored as a white wine and doesn't adhere to the standard pink profile. Aromas of crushed Marcona almonds, sea salt and oak smoke show on the nose, and the acid-driven palate continues that nutty and smokey drive. It's intriguing and unique, though not particularly pink.",38.0,88,0,0.9639924691512891
112117,Daou 2016 Rosé (Paso Robles),"This is one of the more interesting rosés of the vintage, in part because it is almost as hay-colored as a white wine and doesn't adhere to the standard pink profile. Aromas of crushed Marcona almonds, sea salt and oak smoke show on the nose, and the acid-driven palate continues that nutty and smokey drive. It's intriguing and unique, though not particularly pink.",38.0,88,0,0.9639924691512891
54060,Miguel Torres 2002 Santa Digna Chardonnay (Curicó Valley),"Aromas of pineapple, ripe melon and lemon create a balanced bouquet, while the citrus and banana on the palate make for a ripe and ready offering. The finish is long, clean and fresh, and the mouthfeel is good and lean, and overall quite crisp. Standard fare, but a good example of Chardonnay.",10.0,86,0,0.9639923565343389
31,Estampa 2011 Estate Viognier-Chardonnay (Colchagua Valley),"White flower, lychee and apple aromas carry the mellow bouquet. The chunky-feeling palate bears powdery, sweet flavors of peach and melon, mixed with greener notes of grass and lime. The 80% Viognier component is typical of the warm climate: plump and oily, with a short finish. Chardonnay fills out the blend.",15.0,86,0,0.9639923314162069
42407,Callaway 2013 Winemaker's Reserve Roussanne (Temecula Valley),"Honey, jasmine, salted nectarine, yellow melon and plumeria flowers pop on the nose of this bottling that indicates Roussanne may do well in Temecula. There's solid yellow-grapefruit-pith grip to the palate, a touch of tart tangerine, slate minerality and some botanical elements. It's bright and tense for an often oily, easily over-ripened grape.",30.0,89,0,0.9639922861830268
111955,Callaway 2013 Winemaker's Reserve Roussanne (Temecula Valley),"Honey, jasmine, salted nectarine, yellow melon and plumeria flowers pop on the nose of this bottling that indicates Roussanne may do well in Temecula. There's solid yellow-grapefruit-pith grip to the palate, a touch of tart tangerine, slate minerality and some botanical elements. It's bright and tense for an often oily, easily over-ripened grape.",30.0,89,0,0.9639922861830268
64633,Lagana 2013 Sauvignon Blanc (Columbia Valley (WA)),"Though labeled Sauvignon Blanc, this includes 20% Muscat, which makes it more of a proprietary white wine than a pure varietal expression. The flavors combine grassy, salad greens with citrus and grapefruit rind. The Muscat shows up in the orange blossom highlights. As the low alcohol would suggest, this dry wine has plenty of natural acidity.",18.0,88,0,0.9639921723765579
4337,Mercer 2007 Pinot Gris (Columbia Valley (WA)),"This is quite crisp and clean, with fairly typical flavors for Washington Pinot Gris. Which is to say, not nearly as fleshy as the wines from Oregon, with less of the juicy pear character. There's plenty of acid, more like green apple than ripe pear. It's a soundly made wine, clean and fresh, but less varietally distinctive than one would hope for.",15.0,85,0,0.9639917135969928
30452,Baker & Brain 2013 Paragon Vineyard Grüner Veltliner (Edna Valley),"This is a tight and racy take on a rarely planted grape for the region. with scratched lemon peel and lime pith aromas, plus a brie cheese-rind character. It's lively on the palate, with grapefruit peels, white flowers, lime juice and a touch of ripe apple flesh. Expect longevity.",24.0,88,0,0.9639915561177438
93736,Jack Creek 2013 Kruse Vineyard Chardonnay (Central Coast),"This winery is striving to show that Burgundian varietals can work in the cooler Willow Creek region of Paso Robles, where sea breeze comes through the Templeton Gap. This bottling provides good evidence, with aromas of crushed rocks, vanilla toast, roasted apple and peach. Brisk apple cider dominates the palate, picking up roasted almonds in the midpalate and possessing quite a bit of pear skin grip.",36.0,90,0,0.9639914889483076
71121,Brutocao 2012 Feliz Vineyard Sauvignon Blanc (Mendocino),"An exceptionally priced Sauvignon Blanc from estate-grown fruit, Brutocao's Feliz Vineyard offers pronounced aromatics, all honeysuckle and apricot. Floral, savory, even slightly salty, the fruit that will stand out most here is honeydew melon. The wine's just-enough level of sweetness is reminiscent of nature's best.",14.0,89,0,0.9639914770597817
48943,Michaud 2013 Chardonnay (Chalone),"Deep yellow in color, scents of chamomile, daffodil, yellow lilies, toasted Marcona almonds, vanilla and a touch of paraffin show on the nose, while the palate starts rather fat with cooked apples, poached pears and a sea-salt caramel. But an orange-peel sharpness keeps it tight all the way into the long butterscotch finish.",39.0,92,0,0.9639914095558269
88235,Carol Shelton 2013 Coquille Blanc White (Paso Robles),"A zesty blend of Grenache Blanc, Roussanne, Marsanne and Viognier, this shows melon, tuberose, white lily and sharp lemon zest on the nose. The palate treads between energy and warmth, offering citrusy acidity against buttered, toasted nuts, all framed by a pithy grip that keeps the texture center stage.",24.0,91,0,0.9639913068474343
72949,Robert Hall 2006 Blanc de Robles White (Paso Robles),"Hall hits all the right notes with this unusual white Rhône blend of Grenache Blanc, Roussanne and Piquepol Blanc. It's a fascinating wine, dry and crisp, with honeyed flavors of white peach, nectarine and Meyer lemon. Tastes really good and has that all-important extra touch of complexity.",20.0,89,0,0.963991204867987
111499,Illumination 2008 Sauvignon Blanc (Napa Valley),"This is a blend of 92% Sauvignon Blanc and 8% Sémillon. It was partially barrel-fermented and then aged on the lees. It is a very great example of its genre, one of the best in memory. Shows intricate layers of Meyer lemons, kefir limes and white peaches, offset by crisp acidity and minerals but softened with buttercream and buttered toast. A vibrant, immaculate wine, one of the Sauvignon Blanc stars of the vintage.",40.0,95,0,0.9639911007662401
85255,Gainey 2014 Limited Selection Chardonnay (Sta. Rita Hills),"Warm aromas of yellow peach, baked-apple croissant, vanilla and marzipan show on the nose of this bottling from the longtime family-run winery near the town of Santa Ynez. It's soft and lush on the palate, with baked nectarine and poached pear. It's familiar for those who enjoy the ripe California style, but chiseled enough to appeal to others as well.",38.0,91,0,0.9639910746307984
102463,Rex Hill 2006 Chardonnay (Oregon),"Composed of 100% Dijon clone Chardonnay, this was fermented in small stainless- steel barrels; it's tight, sharp and crisply defined. The wine is lifted with lots of tasty spices, and the fruit is clean and tastes of apple, pear and white peach. It doesn't try to be more than it is; the fruit is front and center.",18.0,88,0,0.9639905233236471
69822,Kessler-Haak 2014 Chardonnay (Sta. Rita Hills),"Chalky notes of baking soda meet with a nice sizzle of scratched lemon skin, slight bubble gum, fresh sourdough bread and pear blossom on the slightly yeasty nose. Tight lime skins, Asian pear flesh and pink grapefruit cling to a center line of texture and acidity.",35.0,91,0,0.9639904602450002
4989,Mer Soleil 2010 Silver Unoaked Chardonnay (Santa Lucia Highlands),"Mer Soleil's Chardonnay grapes dependably get so ripe, they offer explosive flavors even without oak. You won't miss a thing without that barrel. The pineapple, orange and golden mango flavors are delicious on their own, and even offer a hint of vanilla. A mouthwateringly fresh squeeze of acidity makes everything bright and clean.",24.0,90,0,0.9639904434604336
60980,Mer Soleil 2010 Silver Unoaked Chardonnay (Santa Lucia Highlands),"Mer Soleil's Chardonnay grapes dependably get so ripe, they offer explosive flavors even without oak. You won't miss a thing without that barrel. The pineapple, orange and golden mango flavors are delicious on their own, and even offer a hint of vanilla. A mouthwateringly fresh squeeze of acidity makes everything bright and clean.",24.0,90,0,0.9639904434604336
113278,Brian Carter Cellars 2008 Oriana White White (Columbia Valley (WA)),"In this newest vintage of Oriana, the Riesling component has been bumped up to 18%; the rest is half Viognier, 31% Roussanne. The three grapes complement each other well; the Riesling adding aromatics, acidity and a barely perceptible amount of residual sugar. This opens with a vitamin pill aroma that slowly dissipates; the fruit flavors are a mix of pineapple and Satsuma orange, with lots of natural acidity.",24.0,90,0,0.9639891309655492
81428,Seven Angels 2014 Unorthodox White (Central Coast),"This white Rhône blend places Grenache Blanc at center stage, with Marsanne, Picpoul Blanc and Viognier playing supporting roles. It's fresh and engaging on the nose, suggesting caramelized pear, apple blossom and chalk. Laser-sharp acidity and chalky minerality balance bold lime custard and apple skin flavors.",22.0,89,0,0.9639867083243376
42593,Foley 2013 Rancho Santa Rosa Chardonnay (Sta. Rita Hills),"Sea salt, honeysuckle, lemon-sprayed apple and a touch of graphite dominate the nose of this tasty wine that grows only more interesting with time. Lime zest plays on the edges of the palate, though the middle shows a nectarine and yellow-pear richness. Energetic acidity tickles the tongue throughout the sip.",30.0,92,0,0.9639853845425708
49622,McKinney 2014 Chardonnay (Santa Barbara County),"Green apples, apple blossoms, fresh Meyer lemon, tangerine skin and a bit of chalk show on the complex nose of this bottling, which is boosted by 5% Viognier. The flavors are fairly light, with energetic lime juice, apple flesh and tart apple skins in the midpalate.",25.0,88,0,0.9624959367357762
69443,McKinney 2014 Chardonnay (Santa Barbara County),"Green apples, apple blossoms, fresh Meyer lemon, tangerine skin and a bit of chalk show on the complex nose of this bottling, which is boosted by 5% Viognier. The flavors are fairly light, with energetic lime juice, apple flesh and tart apple skins in the midpalate.",25.0,88,0,0.9624959367357762
2299,Jekel 2014 Riesling (Monterey),"Yellow grapefruit pith, white Asian pear flesh, cherimoya and crisp stonefruit elements show on the nose of this bottling, which also offers the typical touch of petrol. The palate is very pithy and high-toned, showing lemon rind, sour orange and sour apple on the finish.",14.0,89,0,0.9624953126647028
82053,Stephen Ross 2015 Spanish Springs VIneyard Pinot Gris (San Luis Obispo County),"Lemon-lime soda, fresh lemongrass, kiwi, pear blossoms and wet stones show on the focused nose of this bottling from a vineyard located between Pismo Beach and Edna Valley. The river-stone element carries to the palate, where richer flavors of yellow apple, Anjou pear, kiwi gum and honeydew-candy emerge.",22.0,88,0,0.962494903115653
